SD_SYMBOL_ID,SD_SYMBOL,SD_TRADE_DATE,SD_OPEN,SD_CLOSE,SD_HIGH,SD_LOW,SD_ADJ_CLOSE,SD_TXN_VOLUME
114,ADANIPORTS,2024-01-03,1105.00,1094.25,1144.00,1062.75,1089.58,33060778
115,ADANIPORTS,2024-01-04,1117.00,1123.20,1131.00,1103.55,1118.40,9771995
116,ADANIPORTS,2024-01-05,1129.10,1154.25,1160.00,1125.40,1149.32,10622789
117,ADANIPORTS,2024-01-08,1160.00,1168.85,1182.00,1152.00,1163.86,8760094
118,ADANIPORTS,2024-01-09,1182.00,1197.10,1229.90,1178.50,1191.99,14701104
119,ADANIPORTS,2024-01-10,1220.00,1214.35,1220.00,1197.00,1209.16,7036728
120,ADANIPORTS,2024-01-11,1221.00,1202.95,1223.60,1200.00,1197.81,3721202
121,ADANIPORTS,2024-01-12,1210.40,1207.10,1218.75,1201.05,1201.94,3912779
122,ADANIPORTS,2024-01-15,1214.00,1203.10,1215.35,1189.10,1197.96,2825654
123,ADANIPORTS,2024-01-16,1203.60,1193.35,1212.00,1186.80,1188.25,3173587
124,ADANIPORTS,2024-01-17,1180.00,1166.85,1204.70,1159.45,1161.86,5268593
125,ADANIPORTS,2024-01-18,1171.05,1154.05,1184.30,1143.45,1149.12,5918594
126,ADANIPORTS,2024-01-19,1162.25,1152.45,1166.80,1150.00,1147.53,2732559
127,ADANIPORTS,2024-01-23,1199.15,1137.10,1207.20,1130.25,1132.24,7201014
128,ADANIPORTS,2024-01-24,1138.00,1120.60,1146.75,1118.35,1115.81,18373913
129,ADANIPORTS,2024-01-25,1122.15,1146.30,1155.75,1111.60,1141.40,4305042
130,ADANIPORTS,2024-01-29,1155.00,1196.65,1204.90,1151.00,1191.54,6768033
131,ADANIPORTS,2024-01-30,1200.00,1187.35,1217.20,1181.00,1182.28,4683729
132,ADANIPORTS,2024-01-31,1195.80,1207.65,1214.25,1191.65,1202.49,5510242
133,ADANIPORTS,2024-02-01,1213.60,1218.85,1239.50,1200.30,1213.64,7433628
134,ADANIPORTS,2024-02-02,1233.05,1261.45,1287.50,1231.70,1256.06,10450227
135,ADANIPORTS,2024-02-05,1269.50,1258.55,1291.25,1248.85,1253.17,5611298
136,ADANIPORTS,2024-02-06,1266.00,1273.10,1284.60,1248.85,1267.66,4408002
137,ADANIPORTS,2024-02-07,1280.00,1255.65,1286.35,1252.15,1250.29,3359763
